orgao_sigla,entry_type,field,original_value,current_value,eixo_original,eixo_normalizado,confidence,review_reason,servico_acao,tabela_tipo
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade DECEA,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com ANATEL - LICENÇA DE ESTAÇÃO aeronaves (ANATEL),pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com ANATEL - RAB,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com CENTROS DE TREINAMENTO,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com CREA (Anotação de Responsabilidade Técnica ARTT por UF),pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com DPF - SISMIGRA (Sistema de Registro Nacional Migratório),pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com EMPRESAS AÉREAS,pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com ENAP (EVG),pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com OPERADORES AEROPORTUÁRIOS (Pousos e Decolagens),pactuada
ANAC,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,Governança e Gestão de Dados,Governança e Gestão de Dados,medium,fuzzy=0.85,Interoperabilidade com SUSEP (Seguro RETA),pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,1ª fase Aprimoramento da Matriz de Certificação - conjunto de funcionalidades para facil,pactuada
ANAC,delivery,produto / eixo,Outros,Outros,Projetos Especiais,Projetos Especiais,high,produto Outros,Assistência de IA para agrupamento de reportes de safety - Assistente para facilitar o agru,pactuada
