orgao_sigla,servico_acao,produto_original,produto_normalizado,produto_score,eixo_original,eixo_normalizado,data_pactuada,confidence
ANTAQ,Obter autorização da Antaq para transporte de cargas na navegação interior de percurso longitudinal interestadual e internacional (KR 7.1.5),Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,31/12/2025,high
ANTAQ,Obter autorização da Antaq para transporte de passageiros e misto na navegação interior de percurso longitudinal interestadual e internacional (KR 7.1.5),Evolução do Serviço,Evolução do Serviço,1.0,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,31/12/2025,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,,Segurança e Privacidade,,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,,Segurança e Privacidade,,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,,Segurança e Privacidade,,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,,Segurança e Privacidade,,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,,Segurança e Privacidade,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANTAQ,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,Revisão da descrição dos serviços,Revisão da descrição dos serviços,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,02/10/2023,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,02/10/2023,high
ANTAQ,,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",1.0,Segurança e Privacidade,Segurança e Privacidade,20/03/2024,high
ANTAQ,,Implementação do PPSI,Implementação do PPSI,1.0,Segurança e Privacidade,Segurança e Privacidade,20/03/2024,high
